bucket,reason,source,path,size,mtime,ext,name
ARCHIVE,agent session jsonl older than 30 days (47d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\2bc54b43-b2d2-4634-8cbd-7aabf9e8e1a6.jsonl,610982,2026-03-18T17:22:55,.jsonl,2bc54b43-b2d2-4634-8cbd-7aabf9e8e1a6.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\2f755998-cb9e-4349-bafa-c5fe101c2061.jsonl,1008831,2026-03-21T19:01:09,.jsonl,2f755998-cb9e-4349-bafa-c5fe101c2061.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\39959914-c596-427b-8ea3-861101dfea9f.jsonl,209473,2026-03-21T18:29:42,.jsonl,39959914-c596-427b-8ea3-861101dfea9f.jsonl
ARCHIVE,agent session jsonl older than 30 days (52d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\41285ed1-247f-43f1-89e6-ea1d48c1032b.jsonl,2724,2026-03-13T23:35:58,.jsonl,41285ed1-247f-43f1-89e6-ea1d48c1032b.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\453eac30-926b-440e-b5a8-43277a297d4f.jsonl,82723,2026-03-21T18:53:58,.jsonl,453eac30-926b-440e-b5a8-43277a297d4f.jsonl
ARCHIVE,agent session jsonl older than 30 days (47d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\4af3bdde-7cdf-4c80-b346-a2253deb7509.jsonl,20047,2026-03-18T17:15:27,.jsonl,4af3bdde-7cdf-4c80-b346-a2253deb7509.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\56a37012-39c2-42a0-b917-9acd3857e126.jsonl,45099,2026-03-21T18:50:10,.jsonl,56a37012-39c2-42a0-b917-9acd3857e126.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\5b04c0ef-ff05-4a2c-86aa-00170a97dcc3.jsonl,26784,2026-03-21T18:14:42,.jsonl,5b04c0ef-ff05-4a2c-86aa-00170a97dcc3.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\5d3c5e28-2fe5-44dd-87af-c7181942d3ac.jsonl,37001,2026-03-21T18:35:57,.jsonl,5d3c5e28-2fe5-44dd-87af-c7181942d3ac.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\612bc435-cc55-466b-b84a-5d21a83d5f0f.jsonl,166381,2026-03-21T18:27:31,.jsonl,612bc435-cc55-466b-b84a-5d21a83d5f0f.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\62da9500-b890-4fa2-ac7c-fce89c17fb9e.jsonl,38914,2026-03-21T18:31:28,.jsonl,62da9500-b890-4fa2-ac7c-fce89c17fb9e.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\769b4abe-356c-4108-a36f-295909442a8a.jsonl,55580,2026-03-21T18:26:02,.jsonl,769b4abe-356c-4108-a36f-295909442a8a.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\785c9907-c4eb-4399-8b6d-1af67151e38d.jsonl,457054,2026-03-21T18:38:13,.jsonl,785c9907-c4eb-4399-8b6d-1af67151e38d.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\7ce31b15-6d9b-4d34-af57-351b257f589e.jsonl,7726,2026-03-21T18:25:17,.jsonl,7ce31b15-6d9b-4d34-af57-351b257f589e.jsonl
ARCHIVE,agent session jsonl older than 30 days (35d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\80a5d31e-183e-42b9-a9cb-047950e7468e.jsonl,486787,2026-03-30T20:53:24,.jsonl,80a5d31e-183e-42b9-a9cb-047950e7468e.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\85a87533-6d9b-4494-b653-a9f4485e108e.jsonl,567612,2026-03-21T18:47:28,.jsonl,85a87533-6d9b-4494-b653-a9f4485e108e.jsonl
ARCHIVE,agent session jsonl older than 30 days (62d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\9068a2c7-55d0-435f-867f-a5bfbb849941.jsonl,339621,2026-03-03T13:56:30,.jsonl,9068a2c7-55d0-435f-867f-a5bfbb849941.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\98ba50c3-8ae5-42bf-9b2a-b4fbce07cc3c.jsonl,570383,2026-03-21T18:53:08,.jsonl,98ba50c3-8ae5-42bf-9b2a-b4fbce07cc3c.jsonl
ARCHIVE,agent session jsonl older than 30 days (52d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\9a6cfa25-f7b4-4f75-803f-35d92b880028.jsonl,14363,2026-03-13T18:32:33,.jsonl,9a6cfa25-f7b4-4f75-803f-35d92b880028.jsonl
ARCHIVE,agent session jsonl older than 30 days (52d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\9bd031de-756c-45d1-8075-31179f44e092.jsonl,2468,2026-03-14T01:16:40,.jsonl,9bd031de-756c-45d1-8075-31179f44e092.jsonl
ARCHIVE,agent session jsonl older than 30 days (52d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\a632d169-87fb-45a3-95ea-7d4bc1058487.jsonl,3508,2026-03-13T23:05:57,.jsonl,a632d169-87fb-45a3-95ea-7d4bc1058487.jsonl
ARCHIVE,agent session jsonl older than 30 days (62d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\aebb4346-0a66-45bc-bb74-47a1484fd72b.jsonl,250439,2026-03-03T14:02:50,.jsonl,aebb4346-0a66-45bc-bb74-47a1484fd72b.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\c350b41d-8606-42b8-840d-b9720362970d.jsonl,75241,2026-03-21T18:57:19,.jsonl,c350b41d-8606-42b8-840d-b9720362970d.jsonl
ARCHIVE,agent session jsonl older than 30 days (47d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\dabdcfc2-16dd-45dd-8460-0677d285678a.jsonl,940866,2026-03-18T17:31:45,.jsonl,dabdcfc2-16dd-45dd-8460-0677d285678a.jsonl
ARCHIVE,agent session jsonl older than 30 days (47d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\e12446f3-1b1b-436a-a959-ba5186753c7f.jsonl,491264,2026-03-18T17:17:45,.jsonl,e12446f3-1b1b-436a-a959-ba5186753c7f.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\e718fccd-c383-4900-a87d-3afe728aa624.jsonl,90413,2026-03-21T18:37:21,.jsonl,e718fccd-c383-4900-a87d-3afe728aa624.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\e955b31d-036a-4242-8bee-e7978ff26fdf.jsonl,28581,2026-03-21T18:42:34,.jsonl,e955b31d-036a-4242-8bee-e7978ff26fdf.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\efc3b7d9-17ac-4dc6-8a8a-9b920611ea88.jsonl,58691,2026-03-21T19:03:51,.jsonl,efc3b7d9-17ac-4dc6-8a8a-9b920611ea88.jsonl
ARCHIVE,agent session jsonl older than 30 days (63d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\f7d14e7c-a6e5-4c57-b198-123b8d35d3a2.jsonl,86098,2026-03-03T06:00:30,.jsonl,f7d14e7c-a6e5-4c57-b198-123b8d35d3a2.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\fadd9e13-d81e-47ff-b07c-47356981ff19.jsonl,231332,2026-03-21T18:49:18,.jsonl,fadd9e13-d81e-47ff-b07c-47356981ff19.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\fb4c7299-ad7e-4ef9-9849-bcee7a13bfe5.jsonl,35667,2026-03-21T18:45:55,.jsonl,fb4c7299-ad7e-4ef9-9849-bcee7a13bfe5.jsonl
ARCHIVE,agent session jsonl older than 30 days (46d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\marketing\sessions\13b9f8b6-ba3d-4dbc-9867-4d66c8578981.jsonl,53175,2026-03-19T14:04:37,.jsonl,13b9f8b6-ba3d-4dbc-9867-4d66c8578981.jsonl
ARCHIVE,agent session jsonl older than 30 days (51d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\marketing\sessions\184af1f7-ae10-4669-9da5-26e34f497db0.jsonl,78661,2026-03-15T10:18:56,.jsonl,184af1f7-ae10-4669-9da5-26e34f497db0.jsonl
ARCHIVE,agent session jsonl older than 30 days (46d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\marketing\sessions\3d091326-ac94-47f1-b31a-28d19c22b13b.jsonl,89200,2026-03-19T13:50:17,.jsonl,3d091326-ac94-47f1-b31a-28d19c22b13b.jsonl
ARCHIVE,agent session jsonl older than 30 days (46d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\marketing\sessions\4072e7eb-e446-4319-adf8-e5afcc7bc3d7.jsonl,10443,2026-03-19T13:50:25,.jsonl,4072e7eb-e446-4319-adf8-e5afcc7bc3d7.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\marketing\sessions\5685a65d-44ae-424a-80d5-fd48a80cfce1.jsonl,50468,2026-03-21T19:04:44,.jsonl,5685a65d-44ae-424a-80d5-fd48a80cfce1.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\marketing\sessions\5e08851b-6480-4551-b6b8-08cf738af601.jsonl,179481,2026-03-21T18:35:25,.jsonl,5e08851b-6480-4551-b6b8-08cf738af601.jsonl
ARCHIVE,agent session jsonl older than 30 days (54d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\marketing\sessions\5ecfcd90-74c4-4d41-86d0-18c097007e33.jsonl,6286,2026-03-11T16:48:41,.jsonl,5ecfcd90-74c4-4d41-86d0-18c097007e33.jsonl
ARCHIVE,agent session jsonl older than 30 days (51d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\marketing\sessions\646792c9-e8ea-418e-9bd1-31d6431c315d.jsonl,70210,2026-03-15T11:49:47,.jsonl,646792c9-e8ea-418e-9bd1-31d6431c315d.jsonl
ARCHIVE,agent session jsonl older than 30 days (52d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\marketing\sessions\6c745c54-997e-4228-9db5-0f5f3cd84594.jsonl,65933,2026-03-14T10:01:01,.jsonl,6c745c54-997e-4228-9db5-0f5f3cd84594.jsonl
ARCHIVE,agent session jsonl older than 30 days (64d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\marketing\sessions\77c78fc1-b044-4b16-ba23-25e290e4be33.jsonl,18541,2026-03-01T23:30:35,.jsonl,77c78fc1-b044-4b16-ba23-25e290e4be33.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\marketing\sessions\98281040-db49-4e8e-ac7c-746875fdc223.jsonl,25292,2026-03-21T18:38:57,.jsonl,98281040-db49-4e8e-ac7c-746875fdc223.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\marketing\sessions\99025c8d-a069-4d61-8f40-9f9f23f77ae2.jsonl,47609,2026-03-21T18:42:08,.jsonl,99025c8d-a069-4d61-8f40-9f9f23f77ae2.jsonl
